sctid,fsn/term,pt/term,conceptId,batch
,Needle track (morphologic abnormality),Needle track,103613006,acquired body structure
,Femoropopliteal vein (morphologic abnormality),Femoropopliteal vein,105586003,acquired body structure
,Radial surgical margin (morphologic abnormality),Radial surgical margin,1095801000004106,acquired body structure
,Surgical tissue implant (morphologic abnormality),Surgical tissue implant,110403003,acquired body structure
,Surgically reimplanted organ or tissue (morphologic abnormality),Surgical reattachment,110404009,acquired body structure
,Trephine hole (morphologic abnormality),Burr hole,110405005,acquired body structure
,Burn scar (morphologic abnormality),Burn scar,111016001,acquired body structure
,Injection site scar (morphologic abnormality),Injection site scar,111017005,acquired body structure
,Surgical wound (morphologic abnormality),Operative wound,112633009,acquired body structure
,Mucosal surgical margin (morphologic abnormality),Mucosal surgical margin,1156299008,acquired body structure
